index,Name,Hall of Fame Class,Year Drafted,GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
102,Bryan Warrick,,1982.0,43.0,16.9,4.0,1.5,4.0,38.0,0.0,0.1,0,1.0,1.3,73.7,0.3,1.3,1.6,2.9,0.5,0.2,1.6,4.7
103,Chris Engler,,1982.0,54.0,6.8,1.5,0.7,1.7,40.4,0.0,0.0,0,0.1,0.3,31.3,0.8,1.1,1.9,0.2,0.1,0.3,0.4,2.4
104,Clark Kellogg,,1982.0,81.0,34.1,20.1,8.4,17.5,47.9,0.0,0.2,22.2,3.2,4.3,74.1,4.2,6.4,10.6,2.8,1.7,0.5,2.7,22.8
105,Cliff Levingston,,1982.0,62.0,14.2,5.6,2.1,4.4,48.5,0.0,0.0,0,1.4,2.4,57.1,1.7,2.1,3.7,0.8,0.4,0.6,1.2,6.7
106,Corny Thompson,,1982.0,44.0,11.8,2.8,1.0,3.1,31.4,0.0,0.0,0,0.8,1.0,78.3,0.9,1.8,2.7,0.8,0.3,0.2,0.7,3.6
107,Craig Hodges,,1982.0,76.0,26.6,9.9,4.2,9.3,45.2,0.3,1.2,22.2,1.2,1.7,72.3,0.7,0.9,1.6,3.6,1.1,0.1,2.1,8.6
108,Darren Tillis,,1982.0,52.0,10.1,3.2,1.5,3.5,42.0,0.0,0.0,0,0.3,0.5,57.1,0.8,1.7,2.5,0.3,0.1,0.6,0.4,4.1
109,Dave Batton,,1982.0,54.0,10.3,3.3,1.6,3.5,44.5,0.0,0.1,0,0.1,0.3,47.1,0.8,1.4,2.2,0.5,0.3,0.2,0.5,3.9
110,David Thirdkill,,1982.0,49.0,10.6,4.0,1.5,3.5,43.5,0.0,0.1,14.3,0.9,1.6,57.7,0.6,0.9,1.5,0.7,0.4,0.1,1.0,3.0
111,Dominique Wilkins,2006.0,1982.0,82.0,32.9,17.5,7.3,14.9,49.3,0.0,0.1,18.2,2.8,4.1,68.2,2.8,3.1,5.8,1.6,1.0,0.8,2.2,15.6
112,Ed Nealy,,1982.0,82.0,20.0,4.4,1.8,3.0,59.5,0.0,0.0,0,0.9,1.4,61.4,2.1,3.8,5.9,0.8,0.8,0.1,0.6,9.7
113,Eddie Phillips,,1982.0,48.0,8.7,3.2,1.2,2.9,40.6,0.0,0.0,0,0.8,1.2,67.8,0.6,1.0,1.6,0.6,0.3,0.2,1.0,2.7
114,Edmund Sherod,,1982.0,64.0,25.4,6.2,2.7,6.6,40.6,0.0,0.2,7.7,0.8,1.3,65.0,0.7,1.7,2.3,4.9,1.5,0.2,1.6,9.1
115,James Worthy,2003.0,1982.0,77.0,25.6,13.4,5.8,10.0,57.9,0.0,0.1,25,1.8,2.9,62.4,2.0,3.1,5.2,1.7,1.2,0.8,2.3,14.7
116,Jerry Eaves,,1982.0,82.0,19.4,9.3,3.4,7.0,48.7,0.0,0.1,12.5,2.4,3.0,81.0,0.4,1.1,1.5,2.6,0.6,0.0,1.9,8.0
117,Jim Johnstone,,1982.0,23.0,8.3,1.3,0.5,1.3,36.7,0.0,0.0,0,0.4,0.9,45.0,0.7,1.3,2.0,0.5,0.1,0.3,0.7,2.3
118,John Bagley,,1982.0,68.0,14.6,5.7,2.4,5.5,43.2,0.0,0.2,0,0.9,1.2,76.2,0.3,1.2,1.4,2.5,0.8,0.1,1.7,5.3
119,Jose Slaughter,,1982.0,63.0,8.2,3.6,1.4,3.8,37.4,0.1,0.7,22,0.6,0.9,64.4,0.5,0.5,1.1,0.8,0.6,0.1,0.7,2.8
120,Lafayette Lever,,1982.0,81.0,24.9,7.8,3.2,7.3,43.1,0.1,0.2,33.3,1.4,2.0,73.0,1.0,1.7,2.8,5.3,1.9,0.2,1.7,11.5
121,LaSalle Thompson,,1982.0,71.0,13.9,5.4,2.1,4.0,51.2,0.0,0.0,0,1.3,1.9,65.0,1.9,3.4,5.3,0.5,0.6,0.9,1.4,8.6
122,Lester Conner,,1982.0,75.0,18.9,4.9,1.9,4.0,47.9,0.0,0.1,0,1.1,1.5,69.9,0.9,2.0,2.9,3.4,1.6,0.1,1.3,9.0
123,Linton Townes,,1982.0,55.0,9.4,4.5,1.9,4.3,44.9,0.2,0.5,36,0.5,0.7,73.7,0.5,0.6,1.2,0.6,0.3,0.1,0.6,3.5
124,Marc Iavaroni,,1982.0,80.0,20.2,5.1,2.0,4.4,46.2,0.0,0.0,0,1.0,1.4,69.0,1.5,2.7,4.1,1.0,0.4,0.6,1.7,6.7
125,Mark Eaton,,1982.0,81.0,18.9,4.3,1.8,4.4,41.4,0.0,0.0,0,0.7,1.1,65.6,1.1,4.6,5.7,1.4,0.3,3.4,1.7,10.4
126,Mark McNamara,,1982.0,36.0,5.1,2.2,0.8,1.8,45.3,0.0,0.0,0,0.6,1.3,44.4,0.9,1.2,2.1,0.2,0.1,0.1,1.0,2.0
127,Mitchell Anderson,,1982.0,65.0,18.5,7.4,2.9,5.8,50.1,0.0,0.1,0,1.5,2.7,57.1,1.8,2.7,4.5,1.0,1.0,0.3,1.2,9.0
128,Oliver Robinson,,1982.0,35.0,4.2,2.9,1.0,2.8,36.1,0.0,0.3,9.1,0.9,1.3,66.7,0.2,0.3,0.5,0.6,0.1,0.1,0.4,1.6
129,Paul Pressey,,1982.0,79.0,19.3,6.7,2.7,5.9,45.7,0.0,0.1,11.1,1.3,2.2,59.7,1.1,2.5,3.6,2.6,1.3,0.6,2.0,8.6
130,Quintin Dailey,,1982.0,76.0,27.4,15.1,6.2,13.3,46.6,0.1,0.3,20,2.7,3.7,73.0,1.1,2.3,3.4,3.7,0.9,0.1,2.7,12.6
131,Richard Anderson,,1982.0,78.0,16.3,5.2,2.2,5.5,40.4,0.1,0.2,36.8,0.6,0.9,69.6,1.4,2.1,3.5,1.5,0.7,0.3,1.2,6.5
